Dataset,Class,Method,DTW,ShapeDTW,SoftDTW,KDTW,MSM,SBD
NATOPS,1.0,Shape-DBA,24.99243787667469,668.6591611766453,629.6588193994974,6.239679477221211e-142,675.9535012842896,0.2559432947625405
NATOPS,1.0,Soft-DBA,41.02664666385631,1763.8509042782057,1681.895088343138,1.6917874609108323e-175,1170.9087415550198,0.914026812246608
NATOPS,1.0,TEKA,36.3659881802356,1358.3785256837227,1320.8128451569914,1.7033321722598472e-176,1086.2159299833083,0.8672196466095682
NATOPS,2.0,DBA,40.85771961589419,1845.093484232634,1670.3312676047642,7.767343761891372e-171,1185.1328554075053,0.89296667830087
NATOPS,2.0,Shape-DBA,23.826020184295384,609.9754849577938,576.9241518600605,7.7254465982114345e-121,644.3140695810954,0.2193416770305574
NATOPS,2.0,Soft-DBA,40.81867566102725,1847.2566063307715,1667.417080179611,3.66214161053697e-171,1185.1197046298032,0.8920980165362316
NATOPS,2.0,TEKA,36.17960230938268,1427.8210765411673,1307.9607700985475,2.569943031017888e-174,1092.515060279827,0.856237111377749
NATOPS,3.0,DBA,41.07378835052081,1847.5360879058544,1687.504147406142,5.504848917595685e-172,1192.2585134815647,0.8949371236713684
NATOPS,3.0,Shape-DBA,23.080421345546718,573.5964857919464,536.5551357144706,1.8472543787914972e-119,616.38762080902,0.2112102947882749
NATOPS,3.0,Soft-DBA,41.17111674814626,1844.3797249447773,1694.9941271110708,7.143594640413906e-172,1190.7617404820471,0.8939184257358741
NATOPS,3.0,TEKA,35.497508436256894,1355.9894471361768,1260.1111947344154,1.7810857191652607e-173,1084.1079246751644,0.8496438299901646
NATOPS,4.0,DBA,42.6281019685988,1836.5403721133332,1815.214445581437,2.1505758782201943e-177,1175.690483469509,0.8693364327868818
NATOPS,4.0,Shape-DBA,15.97869658020292,314.9734240537931,246.084096293941,4.0792363253058e-75,509.51897757417913,0.1579500321934822
NATOPS,4.0,Soft-DBA,42.641482503340704,1838.0151287802012,1816.337395675955,2.0296605936379526e-177,1176.2888541544662,0.8697400028516984
NATOPS,4.0,TEKA,37.58925066872917,1418.3714635445258,1411.0897885427955,1.8362218504585163e-174,1066.8218743949417,0.8026556217573738
NATOPS,5.0,DBA,42.142288806336495,1808.2538723279847,1773.53180855616,2.4941816059766404e-177,1174.0621154862304,0.8785893212465932
NATOPS,5.0,Shape-DBA,15.99201619498908,312.2726537388766,247.79780429487167,2.825011432068272e-72,519.5622822136152,0.1518591062858193
NATOPS,5.0,Soft-DBA,42.13370525976708,1807.3508468708756,1772.7801946086663,2.576315183638304e-177,1174.033366032215,0.8790256987596056
NATOPS,5.0,TEKA,37.45221489263911,1421.186995537916,1399.973693920463,4.423518717996698e-174,1068.4901546114174,0.8176367423436282
NATOPS,6.0,DBA,41.98360760272056,1771.7955949963405,1761.3508550663769,3.663459943728508e-177,1146.3426745677757,0.8586325427286562
NATOPS,6.0,Shape-DBA,19.016724672674755,402.9362610478304,358.8291053698965,8.439199645637937e-83,549.1829181414464,0.1890679643902136
NATOPS,6.0,Soft-DBA,42.02995227692311,1775.7367696931572,1765.217169654838,3.337396333261858e-177,1146.8164866534603,0.8606240584214284
NATOPS,6.0,TEKA,36.90176817665361,1364.384270754872,1360.6319455098485,7.0113475898571655e-177,1053.0933989362436,0.7685302269187008
PenDigits,0,DBA,4.968453365647883,31.80183487484004,22.31512753542798,7.909104521721416e-14,17.03593749927726,0.4655679149189416
